id,lat,lng,name,pref,population,elevation
1110103,41.846457,140.722952,桔梗,北海道,20.43,37
1110104,41.864641,140.71358,大中山,北海道,8.46,35
1110105,41.886971,140.688556,七飯,北海道,9.99,33
1110106,41.9054,140.646525,新函館北斗,北海道,6.73,30
1110107,41.930011,140.635183,仁山,北海道,0.86,91
1110108,41.971954,140.669347,大沼,北海道,3.31,134
1110109,41.980958,140.669758,大沼公園,北海道,1.92,134
1110110,42.003267,140.642678,赤井川,北海道,0.4,145
1110111,42.038809,140.610476,駒ケ岳,北海道,0.58,177
1110117,42.06439,140.771393,鹿部,北海道,0.45,89
1110118,42.10706,140.747596,渡島沼尻,北海道,0.16,61
1110119,42.12164,140.689451,渡島砂原,北海道,1.39,37
1110120,42.119205,140.64598,掛澗,北海道,1.63,25
1110121,42.111232,140.613449,尾白内,北海道,3.05,2
1110122,42.106823,140.59353,東森,北海道,4.53,5
1110123,42.108917,140.573846,森,北海道,5.75,6
1110127,42.17285,140.458436,石倉,北海道,1.02,13
1110128,42.187617,140.420755,落部,北海道,3.54,8
1110129,42.217104,140.37586,野田生,北海道,1.59,6
1110130,42.231172,140.326593,山越,北海道,0.84,8
1110131,42.253391,140.273342,八雲,北海道,7.08,9
1110133,42.314635,140.2746,山崎,北海道,0.86,4
1110134,42.368296,140.288173,黒岩,北海道,1.3,6
1110136,42.439319,140.320885,国縫,北海道,1.12,3
1110137,42.477928,140.346077,中ノ沢,北海道,0.22,4
1110201,42.512477,140.37507,長万部,北海道,3.25,5
1110202,42.575869,140.320821,二股,北海道,0.16,30
1110204,42.669608,140.305704,黒松内,北海道,2.13,25
1110205,42.675653,140.375084,熱郛,北海道,0.33,55
1110206,42.761432,140.465742,目名,北海道,0.34,80
1110207,42.804542,140.52894,蘭越,北海道,3.17,30
1110208,42.797984,140.596107,昆布,北海道,0.66,47
1110209,42.808746,140.684588,ニセコ,北海道,4.5,102
1110210,42.84856,140.722615,比羅夫,北海道,0.31,157
1110211,42.90164,140.745471,倶知安,北海道,9.88,179
1110212,42.97185,140.677657,小沢,北海道,0.56,53
1110213,43.040888,140.715321,銀山,北海道,0.15,176
1110214,43.12551,140.737211,然別,北海道,0.39,25
1110215,43.154091,140.770546,仁木,北海道,3.8,9
1110216,43.186558,140.794686,余市,北海道,19.57,5
1110217,43.19651,140.854643,蘭島,北海道,3.93,6
1110218,43.202406,140.924546,塩谷,北海道,7.18,68
1110301,43.197172,140.993653,小樽,北海道,23.28,25
1110302,43.186529,141.007883,南小樽,北海道,35.42,22
1110303,43.180752,141.029051,小樽築港,北海道,15.87,5
1110304,43.176868,141.063923,朝里,北海道,11.01,3
1110305,43.143403,141.159868,銭函,北海道,16.71,10
1110306,43.13373,141.191402,ほしみ,北海道,16.84,12
1110307,43.132375,141.210856,星置,北海道,39.33,20
1110308,43.128115,141.222919,稲穂,北海道,35.05,9
1110309,43.120238,141.243785,手稲,北海道,40.85,13
1110310,43.112023,141.257113,稲積公園,北海道,22.99,9
1110311,43.099819,141.277273,発寒,北海道,46.95,12
1110312,43.089271,141.294497,発寒中央,北海道,58.65,18
1110313,43.081599,141.307418,琴似,北海道,63.03,19
1110318,43.045154,141.46369,厚別,北海道,54.44,19
1110319,43.056456,141.481332,森林公園,北海道,27.02,18
1110320,43.072382,141.496925,大麻,北海道,18.57,42
1110321,43.092559,141.52984,野幌,北海道,32.28,29
1110322,43.100084,141.540752,高砂,北海道,22.7,26
1110323,43.110189,141.55679,江別,北海道,20.28,12
1110324,43.136446,141.62466,豊幌,北海道,5.22,9
1110325,43.151348,141.655839,幌向,北海道,12.8,12
1110326,43.18183,141.715391,上幌向,北海道,14.44,12
1110328,43.264694,141.814673,峰延,北海道,3.5,27
1110329,43.292658,141.844655,光珠内,北海道,1.41,25
1110330,43.330751,141.862157,美唄,北海道,17.52,28
1110331,43.369842,141.87336,茶志内,北海道,1.08,26
1110332,43.423718,141.889115,奈井江,北海道,5.99,29
1110333,43.464224,141.901032,豊沼,北海道,4.81,25
1110334,43.493468,141.909642,砂川,北海道,9.41,26
1110336,43.627564,141.935937,江部乙,北海道,10.48,37
1110337,43.690841,141.966591,妹背牛,北海道,5.09,42
1110339,43.732509,142.130072,納内,北海道,4.8,67
1110341,43.789193,142.325327,近文,北海道,11.34,102
1110401,42.512477,140.37507,長万部,北海道,3.25,5
1110402,42.584065,140.460025,静狩,北海道,0.42,5
1110403,42.589731,140.537361,小幌,北海道,0.07,61
1110404,42.580422,140.595013,礼文,北海道,0.96,4
1110405,42.585969,140.639036,大岸,北海道,1.27,6
1110406,42.580323,140.71536,豊浦,北海道,3.86,24
1110407,42.55055,140.763959,洞爺,北海道,5.11,6
1110408,42.513267,140.793969,有珠,北海道,2.81,10
1110409,42.488262,140.833783,長和,北海道,4.82,6
1110410,42.469395,140.855802,伊達紋別,北海道,9.84,3
1110411,42.450528,140.880259,北舟岡,北海道,3.2,6
1110412,42.425567,140.898836,稀府,北海道,3.84,14
1110413,42.386441,140.907781,黄金,北海道,2.44,3
1110414,42.373968,140.927141,崎守,北海道,3.93,18
1110415,42.358734,140.977561,本輪西,北海道,13.73,3
1110416,42.317864,140.97571,室蘭,北海道,18.86,5
1110417,42.317295,140.990018,母恋,北海道,18.99,8
1110418,42.329014,140.993881,御崎,北海道,11.37,8
1110419,42.333775,141.005743,輪西,北海道,13.85,6
1110420,42.349374,141.026411,東室蘭,北海道,28.95,6
1110421,42.35953,141.042759,鷲別,北海道,29.51,7
1110422,42.409782,141.107293,幌別,北海道,19.87,7
1110423,42.441957,141.156878,富浦,北海道,6.12,6
1110424,42.45207,141.180931,登別,北海道,10.76,10
1110425,42.464695,141.215092,虎杖浜,北海道,1.91,9
1110426,42.49284,141.260395,竹浦,北海道,1.43,5
1110427,42.509119,141.286199,北吉原,北海道,10.42,5
1110428,42.521159,141.30603,萩野,北海道,4.93,7
1110429,42.55474,141.360054,白老,北海道,10.04,9
1110430,42.578682,141.417433,社台,北海道,1.03,7
1110431,42.6025,141.48722,錦岡,北海道,9.84,9
1110432,42.6225,141.546187,糸井,北海道,18.24,8
1110433,42.62999,141.568278,青葉,北海道,17.31,8
1110501,42.639665,141.596837,苫小牧,北海道,17.68,11
1110503,42.729533,141.769568,遠浅,北海道,3.17,15
1110504,42.765237,141.814106,早来,北海道,3.87,18
1110505,42.814007,141.825283,安平,北海道,1.03,33
1110507,42.945029,141.800778,三川,北海道,2.26,54
1110508,42.975256,141.793969,古山,北海道,1.04,48
1110509,43.012206,141.785868,由仁,北海道,6.2,40
1110510,43.058164,141.775603,栗山,北海道,6.51,30
1110511,43.085444,141.744333,栗丘,北海道,0.7,25
1110512,43.120367,141.739743,栗沢,北海道,6.15,19
1110513,43.158903,141.744443,志文,北海道,5.42,19
1110514,43.204201,141.759359,岩見沢,北海道,13.79,20
1110601,43.555278,141.900807,滝川,北海道,12.19,30
1110602,43.574037,141.98031,東滝川,北海道,2.83,44
1110603,43.555144,142.048669,赤平,北海道,6.25,60
1110604,43.537314,142.082156,茂尻,北海道,10.82,73
1110605,43.541401,142.123872,平岸,北海道,2.13,73
1110606,43.516636,142.184543,芦別,北海道,9.03,98
1110607,43.48871,142.210855,上芦別,北海道,4.19,115
1110608,43.474418,142.261772,野花南,北海道,0.33,115
1110611,43.291991,142.400595,布部,北海道,0.64,190
1110612,43.244645,142.381522,山部,北海道,7.51,224
1110613,43.197328,142.415402,下金山,北海道,0.37,250
1110614,43.136115,142.416201,金山,北海道,0.35,281
1110615,43.164011,142.523472,東鹿越,北海道,0.11,353
1110616,43.161582,142.569474,幾寅,北海道,2.81,361
1110617,43.125055,142.669104,落合,北海道,0.34,412
1110701,43.082501,142.832432,新得,北海道,6.03,188
1110702,43.012892,142.879535,十勝清水,北海道,6.26,168
1110704,42.942418,142.935739,御影,北海道,4.81,158
1110705,42.909846,143.047991,芽室,北海道,12.18,87
1110706,42.91605619,143.0696659,大成,北海道,4.9,71
1110707,42.923941,143.126351,西帯広,北海道,19.44,56
1110708,42.928877,143.1645,柏林台,北海道,25.81,42
1110709,42.917997,143.20195,帯広,北海道,42.36,45
1110710,42.912697,143.256248,札内,北海道,15.05,32
1110712,42.90784,143.359293,幕別,北海道,6.55,27
1110713,42.934706,143.424445,利別,北海道,3.23,13
1110715,42.855781,143.500797,十弗,北海道,0.12,12
1110716,42.817548,143.538615,豊頃,北海道,1.23,11
1110717,42.778238,143.60826,新吉野,北海道,0.18,16
1110718,42.810849,143.651568,浦幌,北海道,1.76,18
1110720,42.809539,143.814389,厚内,北海道,0.65,9
1110723,42.888997,143.932442,音別,北海道,13.01,6
1110725,42.956161,144.076879,白糠,北海道,8.6,6
1110726,42.976138,144.129826,西庶路,北海道,4.22,7
1110727,42.983601,144.150018,庶路,北海道,2.34,3
1110728,43.009078,144.273879,大楽毛,北海道,7.04,4
1110729,43.009423,144.295558,新大楽毛,北海道,6.29,5
1110730,43.001605,144.350758,新富士,北海道,16.27,5
1110801,42.990584,144.381983,釧路,北海道,46.92,5
1110803,42.991364,144.426681,武佐,北海道,5.74,7
1110804,42.994384,144.469596,別保,北海道,2.95,6
1110805,43.032893,144.61239,上尾幌,北海道,0.45,38
1110806,43.018463,144.703758,尾幌,北海道,0.39,16
1110807,43.057581,144.782638,門静,北海道,1.51,2
1110808,43.056248,144.841355,厚岸,北海道,8.17,3
1110810,43.129266,145.02801,茶内,北海道,2.41,44
1110811,43.15754,145.099657,浜中,北海道,1.25,80
1110812,43.196201,145.194716,姉別,北海道,0.23,57
1110813,43.228224,145.252096,厚床,北海道,4.18,41
1110815,43.218427,145.423593,別当賀,北海道,0.18,73
1110816,43.198335,145.519449,落石,北海道,0.42,46
1110817,43.228593,145.542444,昆布盛,北海道,0.24,41
1110818,43.268043,145.541817,西和田,北海道,0.5,53
1110820,43.323655,145.597234,東根室,北海道,8.8,38
1110821,43.326923,145.582707,根室,北海道,20.42,32
1110901,42.639665,141.596837,苫小牧,北海道,17.68,11
1110902,42.672057,141.693132,沼ノ端,北海道,13.72,7
1110903,42.713645,141.735344,植苗,北海道,0.48,18
1110905,42.787546,141.680823,新千歳空港,北海道,14.48,31
1110907,42.82811,141.651934,千歳,北海道,24.67,22
1110908,42.852178,141.622987,長都,北海道,14.3,28
1110909,42.866812,141.605616,サッポロビール庭園,北海道,3.72,28
1110910,42.883076,141.586234,恵庭,北海道,20.73,32
1110911,42.902704,141.574429,恵み野,北海道,10.52,27
1110912,42.922504,141.573117,島松,北海道,20.09,29
1110913,42.979239,141.563115,北広島,北海道,20.02,30
1110914,43.016177,141.487317,上野幌,北海道,13.22,24
1110916,43.04695,141.437967,平和,北海道,60.36,16
1110917,43.054715,141.413612,白石,北海道,72.95,22
1110918,43.068574,141.377522,苗穂,北海道,60.83,19
1110919,43.068612,141.350768,札幌,北海道,46.12,23
1111001,42.80804,141.675388,南千歳,北海道,11.84,23
1111002,42.873316,141.810678,追分,北海道,4.09,50
1111004,42.914721,141.894791,川端,北海道,0.4,88
1111005,42.910244,141.97628,滝ノ上,北海道,0.25,123
1111007,42.936611,142.03657,新夕張,北海道,3.28,146
1111013,42.993088,142.400078,占冠,北海道,0.17,347
1111014,43.055913,142.610937,トマム,北海道,0.04,538
1111015,43.082501,142.832432,新得,北海道,6.03,188
1111101,42.639665,141.596837,苫小牧,北海道,17.68,11
1111102,42.632805,141.727667,勇払,北海道,3.9,4
1111103,42.606725,141.837071,浜厚真,北海道,0.28,4
1111104,42.590722,141.88362,浜田浦,北海道,0.32,7
1111105,42.578953,141.923892,鵡川,北海道,5.45,8
1111201,43.068612,141.350768,札幌,北海道,46.12,23
1111202,43.070744,141.332036,桑園,北海道,34.32,28
1111203,43.085845,141.319145,八軒,北海道,59.38,15
1111204,43.098604,141.323824,新川,北海道,51.98,14
1111205,43.112928,141.335105,新琴似,北海道,70.61,10
1111206,43.12401,141.349526,太平,北海道,39.51,8
1111207,43.131476,141.360672,百合が原,北海道,34.21,5
1111208,43.145152,141.364323,篠路,北海道,39.08,7
1111209,43.155568,141.381013,拓北,北海道,35.22,7
1111210,43.15528,141.39842,あいの里教育大,北海道,32.83,8
1111211,43.161206,141.413276,あいの里公園,北海道,12.41,11
1111231,43.179589,141.436236,ロイズタウン,北海道,1.34,5
1111212,43.189801,141.449066,太美,北海道,4.31,9
1111213,43.22208,141.513764,当別,北海道,11.82,17
1111214,43.230925,141.54995,北海道医療大学,北海道,4.88,15
1111301,43.721021,142.041642,深川,北海道,13.39,53
1111302,43.742021,142.014721,北一已,北海道,0.34,48
1111303,43.769099,141.967757,秩父別,北海道,3.19,48
1111304,43.789375,141.960915,北秩父別,北海道,0.19,50
1111305,43.810032,141.934266,石狩沼田,北海道,4.53,56
1111306,43.832965,141.906756,真布,北海道,0.1,60
1111307,43.851296,141.88144,恵比島,北海道,0.16,76
1111308,43.850789,141.818879,峠下,北海道,0.6,34
1111309,43.855521,141.758418,幌糠,北海道,1.83,25
1111310,43.88708,141.720588,藤山,北海道,0.62,14
1111311,43.913418,141.696528,大和田,北海道,1.24,18
1111312,43.942848,141.651433,留萌,北海道,14.88,6
1111401,43.763492,142.357803,旭川,北海道,10.85,121
1111402,43.745033,142.358257,神楽岡,北海道,23.68,116
1111403,43.731074,142.365701,緑が丘,北海道,17.64,121
1111404,43.720834,142.371507,西御料,北海道,13.73,126
1111405,43.70242,142.381982,西瑞穂,北海道,1.09,133
1111406,43.682181,142.393677,西神楽,北海道,13.47,144
1111407,43.669047,142.415209,西聖和,北海道,0.99,158
1111408,43.643737,142.451024,千代ケ岡,北海道,3.35,187
1111409,43.617884,142.479594,北美瑛,北海道,0.64,216
1111410,43.591186,142.461639,美瑛,北海道,10.84,238
1111411,43.537408,142.447192,美馬牛,北海道,0.41,288
1111412,43.464046,142.468761,上富良野,北海道,12.45,213
1111413,43.429569,142.441876,西中,北海道,0.69,189
1111414,43.42065,142.434032,ラベンダー畑,北海道,0.55,185
1111415,43.405704,142.420812,中富良野,北海道,7.09,190
1111416,43.387499,142.404812,鹿討,北海道,0.28,176
1111417,43.366234,142.386118,学田,北海道,0.73,169
1111418,43.347114,142.391374,富良野,北海道,18.39,171
1111501,43.763492,142.357803,旭川,北海道,10.85,121
1111504,43.814158,142.434382,永山,北海道,27.07,137
1111505,43.826736,142.454493,北永山,北海道,2.99,144
1111507,43.874478,142.471294,比布,北海道,3.14,165
1111509,43.925072,142.473699,蘭留,北海道,0.51,186
1111510,43.96794,142.4552,塩狩,北海道,0.08,260
1111511,44.026932,142.415309,和寒,北海道,5.65,141
1111513,44.09643,142.364754,剣淵,北海道,4.84,134
1111515,44.172536,142.388247,士別,北海道,7.14,128
1111517,44.241296,142.396315,多寄,北海道,1.13,130
1111518,44.266349,142.396244,瑞穂,北海道,0.18,107
1111519,44.292238,142.421624,風連,北海道,7.5,110
1111520,44.330938813348,142.46548195769,名寄高校,北海道,2.08,101
1111521,44.349403,142.465207,名寄,北海道,14.35,99
1111522,44.381713,142.467354,日進,北海道,0.38,98
1111524,44.455553,142.414772,智恵文,北海道,0.15,88
1111525,44.46103,142.394007,智北,北海道,0.24,86
1111527,44.482951,142.350597,美深,北海道,3.95,82
1111528,44.512808,142.336129,初野,北海道,0.11,76
1111530,44.598486,142.309447,恩根内,北海道,0.15,63
1111532,44.665041,142.258682,天塩川温泉,北海道,0.02,48
1111533,44.692702,142.267569,咲来,北海道,0.15,49
1111534,44.729448,142.259883,音威子府,北海道,2.4,40
1111535,44.738883,142.197777,筬島,北海道,0.04,40
1111536,44.743986,142.048562,佐久,北海道,0.18,25
1111537,44.81186,142.075335,天塩中川,北海道,3.43,24
1111539,44.91233,142.025562,問寒別,北海道,0.32,17
1111540,44.920778,142.000931,糠南,北海道,0.02,13
1111541,44.911735,141.935888,雄信内,北海道,0.03,15
1111543,44.965084,141.884892,南幌延,北海道,0.03,8
1111545,45.014503,141.84569,幌延,北海道,2.08,9
1111546,45.037146,141.758218,下沼,北海道,0.07,10
1111547,45.104624,141.772088,豊富,北海道,3.59,13
1111549,45.220236,141.6972,兜沼,北海道,0.31,10
1111550,45.259339,141.685151,勇知,北海道,0.26,13
1111551,45.316866,141.644576,抜海,北海道,0.25,7
1111552,45.398166,141.683026,南稚内,北海道,14.09,9
1111553,45.416995,141.676999,稚内,北海道,15.47,6
1111601,43.763492,142.357803,旭川,北海道,10.85,121
1111602,43.764056,142.375815,旭川四条,北海道,32.55,119
1111603,43.780174,142.384789,新旭川,北海道,30.2,117
1111604,43.78055,142.40853,南永山,北海道,20.25,122
1111605,43.776571,142.441544,東旭川,北海道,15.19,134
1111607,43.801812,142.486968,桜岡,北海道,0.75,143
1111608,43.825477,142.516987,当麻,北海道,6.05,153
1111610,43.876025,142.525227,伊香牛,北海道,0.48,180
1111611,43.898635,142.582176,愛別,北海道,2.14,215
1111612,43.896216,142.655424,中愛別,北海道,0.14,252
1111613,43.866442,142.680699,愛山,北海道,0.16,277
1111614,43.852011,142.693868,安足間,北海道,0.36,291
1111616,43.848508,142.766895,上川,北海道,3.31,339
1111618,43.884435,143.180795,白滝,北海道,5.13,365
1111621,44.006354,143.335817,丸瀬布,北海道,6.31,191
1111622,44.008753,143.420937,瀬戸瀬,北海道,0.13,145
1111623,44.060278,143.520667,遠軽,北海道,10.87,81
1111624,43.993322,143.535762,安国,北海道,1.28,122
1111626,43.923674,143.534627,生田原,北海道,3.89,178
1111628,43.785345,143.603257,西留辺蘂,北海道,8.72,209
1111629,43.785534,143.621394,留辺蘂,北海道,8.58,197
1111630,43.795948,143.756449,相内,北海道,12.93,129
1111631,43.805466,143.809499,東相内,北海道,8.3,108
1111632,43.803114,143.841586,西北見,北海道,13.84,95
1111634,43.824911,143.916737,柏陽,北海道,14.82,61
1111635,43.841426,143.932962,愛し野,北海道,5.53,49
1111636,43.851172,143.942336,端野,北海道,10.26,44
1111637,43.880431,143.999887,緋牛内,北海道,1.34,55
1111638,43.836967,144.10563,美幌,北海道,8.79,14
1111639,43.880057,144.148372,西女満別,北海道,0.37,11
1111640,43.915886,144.170665,女満別,北海道,4.31,9
1111641,43.963695,144.218945,呼人,北海道,3.71,8
1111701,44.019873,144.254156,網走,北海道,11.07,9
1111702,44.016913,144.273223,桂台,北海道,13.35,19
1111703,43.982481,144.296526,鱒浦,北海道,2.32,5
1111704,43.968358,144.320079,藻琴,北海道,6.18,3
1111705,43.958549,144.352541,北浜,北海道,3.4,3
1111706,43.941033,144.41443,原生花園,北海道,0.06,3
1111707,43.934077,144.453187,浜小清水,北海道,0.95,8
1111708,43.921558,144.519818,止別,北海道,0.14,9
1111709,43.910749,144.661647,知床斜里,北海道,10.56,5
1111710,43.874608,144.659033,中斜里,北海道,4.93,7
1111712,43.83871,144.593948,清里町,北海道,5.76,22
1111713,43.786574,144.531526,札弦,北海道,4.12,62
1111714,43.718282,144.505499,緑,北海道,0.51,138
1111715,43.616258,144.457749,川湯温泉,北海道,0.51,161
1111716,43.555316,144.437656,美留和,北海道,0.17,156
1111717,43.487373,144.463981,摩周,北海道,4.67,99
1111719,43.379389,144.554322,磯分内,北海道,1.64,48
1111720,43.298472,144.608434,標茶,北海道,5.85,24
1111722,43.202097,144.503788,茅沼,北海道,0.03,14
1111723,43.151739,144.496817,塘路,北海道,0.27,6
1111724,43.105055,144.469683,細岡,北海道,0.06,6
1111725,43.100647,144.447799,釧路湿原,北海道,0.06,12
1111726,43.047878,144.458367,遠矢,北海道,5.68,5
1111727,42.995207,144.411307,東釧路,北海道,13.02,7
1111728,42.990584,144.381983,釧路,北海道,46.92,5
1111910,41.677642,140.434004,木古内,北海道,7.29,6
1111911,41.699271,140.468097,札苅,北海道,1.1,13
1111912,41.700867,140.506797,泉沢,北海道,1.28,15
1111913,41.712153,140.53718,釜谷,北海道,0.74,8
1111914,41.737309,140.579109,渡島当別,北海道,1.77,12
1111915,41.766604,140.600561,茂辺地,北海道,5.63,8
1111916,41.81956,140.640599,上磯,北海道,8.84,6
1111917,41.824615,140.652906,清川口,北海道,7.92,5
1111918,41.826727,140.666468,久根別,北海道,9.55,4
1111919,41.826005,140.679731,東久根別,北海道,11.64,6
1111920,41.817643,140.707957,七重浜,北海道,16.89,6
1111921,41.803557,140.733539,五稜郭,北海道,46.94,6
1111922,41.773709,140.726413,函館,北海道,27.58,5
9910101,43.089962,141.27717,宮の沢,北海道,58.27,31
9910102,43.081732,141.289312,発寒南,北海道,69.1,32
9910103,43.075941,141.303931,琴似,北海道,73.39,31
9910104,43.070221,141.314093,二十四軒,北海道,61.58,17
9910105,43.060345,141.314522,西２８丁目,北海道,32.67,20
9910106,43.055582,141.318863,円山公園,北海道,42.4,22
9910107,43.057168,141.330204,西１８丁目,北海道,51.63,28
9910110,43.061268,141.360473,バスセンター前,北海道,48.82,27
9910111,43.057169,141.3727,菊水,北海道,49.07,23
9910112,43.051614,141.384922,東札幌,北海道,54.31,27
9910113,43.046076,141.396242,白石,北海道,62.78,35
9910114,43.040091,141.411759,南郷７丁目,北海道,66.04,36
9910115,43.035783,141.422697,南郷１３丁目,北海道,52.85,36
9910116,43.030229,141.435196,南郷１８丁目,北海道,61.63,26
9910117,43.028008,141.452972,大谷地,北海道,48.83,33
9910118,43.032175,141.464638,ひばりが丘,北海道,56.59,32
9910119,43.039141,141.473106,新さっぽろ,北海道,52.09,29
9910201,43.109106,141.338255,麻生,北海道,72.45,17
9910202,43.099883,141.342028,北３４条,北海道,64.68,12
9910203,43.089811,141.344604,北２４条,北海道,53.01,15
9910204,43.081568,141.346686,北１８条,北海道,45.58,18
9910205,43.074829,141.348403,北１２条,北海道,38.63,23
9910206,43.06637,141.350299,さっぽろ,北海道,44.62,28
9910207,43.060479,141.354526,大通,北海道,57.94,41
9910209,43.048892,141.354913,中島公園,北海道,31.68,30
9910210,43.040073,141.355886,幌平橋,北海道,36.23,37
9910211,43.037727,141.360758,中の島,北海道,41.14,42
9910212,43.034666,141.36853,平岸,北海道,60.71,49
9910213,43.026842,141.371355,南平岸,北海道,40.67,52
9910214,43.016845,141.367308,澄川,北海道,35.08,69
9910215,43.006038,141.364776,自衛隊前,北海道,34.02,76
9910216,42.991134,141.358499,真駒内,北海道,23.13,105
9910301,43.112995,141.367142,栄町,北海道,51.87,18
9910302,43.104663,141.369086,新道東,北海道,62.93,10
9910303,43.094355,141.371598,元町,北海道,71.13,15
9910304,43.082166,141.374643,環状通東,北海道,72.79,17
9910305,43.078197,141.364769,東区役所前,北海道,75.3,17
9910306,43.07689,141.354851,北１３条東,北海道,61.7,19
9910307,43.06637,141.350299,さっぽろ,北海道,44.62,28
9910308,43.060479,141.354526,大通,北海道,57.94,41
9910309,43.055008,141.356838,豊水すすきの,北海道,36.47,29
9910310,43.047448,141.36909,学園前,北海道,54.0,31
9910311,43.041929,141.376573,豊平公園,北海道,30.11,35
9910312,43.036338,141.385756,美園,北海道,41.52,39
9910313,43.030553,141.396263,月寒中央,北海道,56.76,66
9910314,43.021621,141.403105,福住,北海道,39.64,62
9910401,43.0589036,141.3521482,西４丁目,北海道,60.39,41
9910402,43.058033,141.345358,西８丁目,北海道,55.95,31
9910403,43.057823,141.34224,中央区役所前,北海道,53.91,30
9910404,43.056955,141.336108,西１５丁目,北海道,52.17,27
9910405,43.051352,141.335088,西線６条,北海道,63.67,29
9910406,43.04722,141.336365,西線９条旭山公園通,北海道,68.91,32
9910407,43.044664,141.335957,西線１１条,北海道,66.4,31
9910408,43.040775,141.336429,西線１４条,北海道,55.97,35
9910409,43.037733,141.336772,西線１６条,北海道,43.91,36
9910410,43.03367,141.337287,ロープウェイ入口,北海道,32.5,42
9910411,43.031271,141.337609,電車事業所前,北海道,32.58,43
9910412,43.030455,141.340227,中央図書館前,北海道,42.02,44
9910413,43.030706,141.344175,石山通,北海道,49.35,46
9910414,43.031051,141.347501,東屯田通,北海道,47.24,46
9910415,43.032196,141.351814,幌南小学校前,北海道,30.0,40
9910416,43.034706,141.351514,山鼻１９条,北海道,37.98,42
9910417,43.038329,141.351063,静修学園前,北海道,40.56,40
9910418,43.041544,141.35072,行啓通,北海道,43.89,36
9910419,43.045652,141.350269,中島公園通,北海道,36.09,33
9910420,43.048067,141.349862,山鼻９条,北海道,42.37,33
9910421,43.051783,141.34939,東本願寺前,北海道,57.85,33
9910422,43.055217,141.34969,資生館小学校前,北海道,60.68,32
9910423,43.05578,141.353257,すすきの,北海道,53.08,38
9910424,43.05727894,141.3529274,狸小路,北海道,56.74,38
9910517,41.77264,140.727997,函館駅前,北海道,31.6,6
9910521,41.761085,140.7198,宝来町,北海道,31.57,9
9910522,41.756235,140.718255,青柳町,北海道,13.78,17
9910523,41.753273,140.71641,谷地頭,北海道,17.05,3
9910601,41.781073,140.789902,湯の川,北海道,31.81,7
9910602,41.780129,140.784881,湯の川温泉,北海道,38.32,8
9910603,41.782065,140.782006,函館アリーナ前,北海道,32.46,11
9910604,41.783265,140.779216,駒場車庫前,北海道,23.87,14
9910605,41.784657,140.775268,競馬場前,北海道,24.89,17
9910606,41.787153,140.769947,深堀町,北海道,30.5,21
9910607,41.787937,140.765226,柏木町,北海道,30.48,21
9910608,41.788689,140.759304,杉並町,北海道,34.99,20
9910609,41.789313,140.75175,五稜郭公園前,北海道,42.36,27
9910610,41.787121,140.751021,中央病院前,北海道,48.0,18
9910611,41.784257,140.748532,千代台,北海道,47.27,15
9910612,41.780433,140.74394,堀川町,北海道,36.05,9
9910613,41.778017,140.740893,昭和橋,北海道,35.87,8
9910614,41.776161,140.738575,千歳町,北海道,46.17,6
9910615,41.77464,140.736601,新川町,北海道,41.19,5
9910616,41.771296,140.733039,松風町,北海道,30.67,7
9910617,41.77264,140.727997,函館駅前,北海道,31.6,6
9910618,41.768943,140.72495,市役所前,北海道,30.5,4
9910619,41.765838,140.721731,魚市場通,北海道,33.96,4
9910620,41.763998,140.718513,十字街,北海道,30.47,8
9910621,41.766879,140.711989,末広町,北海道,27.96,9
9910622,41.770207,140.7092,大町,北海道,25.19,5
9910623,41.772992,140.704393,函館どつく前,北海道,28.77,3
9910701,42.922186,143.453033,池田,北海道,3.45,19
9910733,43.805504,143.898167,北見,北海道,28.17,73
